amfi_code,date,rolling_sharpe_90d
100016,2022-05-09,-0.0040811784928659325
100016,2022-05-10,-0.0037091133225840775
100016,2022-05-11,-0.033545641768142606
100016,2022-05-12,-0.040883493714078505
100016,2022-05-13,-0.031388582475726866
100016,2022-05-16,-0.026443806615155947
100016,2022-05-17,-0.001889047861080245
100016,2022-05-18,-0.008334003957372306
100016,2022-05-19,-0.012224004581545704
100016,2022-05-20,-0.026169814832493657
100016,2022-05-23,-0.02406425957098195
100016,2022-05-24,-0.03376112526759701
100016,2022-05-25,-0.01819271185701436
100016,2022-05-26,-0.014112069169957877
100016,2022-05-27,-0.028494438657536213
100016,2022-05-30,-0.04232103895519711
100016,2022-05-31,-0.06858908862781823
100016,2022-06-01,-0.07270607983774081
100016,2022-06-02,-0.07754842376462465
100016,2022-06-03,-0.06875052415823198
100016,2022-06-06,-0.07573810851700843
100016,2022-06-07,-0.06170207562469488
100016,2022-06-08,-0.07183245408912046
100016,2022-06-09,-0.0802108771607081
100016,2022-06-10,-0.08856703738158075
100016,2022-06-13,-0.0822889383312572
100016,2022-06-14,-0.09296621436655751
100016,2022-06-15,-0.09613182878413931
100016,2022-06-16,-0.1025762958913583
100016,2022-06-17,-0.11332744298347316
100016,2022-06-20,-0.10803965263196443
100016,2022-06-21,-0.09949298477014293
100016,2022-06-22,-0.100480045612207
100016,2022-06-23,-0.132404218597152
100016,2022-06-24,-0.11732269843142194
100016,2022-06-27,-0.1326493731591038
100016,2022-06-28,-0.14607822367310477
100016,2022-06-29,-0.16449283579141014
100016,2022-06-30,-0.15674718549152847
100016,2022-07-01,-0.15434739606403328
100016,2022-07-04,-0.1600224782459814
100016,2022-07-05,-0.1232480387173571
100016,2022-07-06,-0.11923347753404813
100016,2022-07-07,-0.13446834496224647
100016,2022-07-08,-0.14513535623804458
100016,2022-07-11,-0.12567390119713498
100016,2022-07-12,-0.17119177407637376
100016,2022-07-13,-0.1767115615407427
100016,2022-07-14,-0.2014731051929523
100016,2022-07-15,-0.19863167461761247
100016,2022-07-18,-0.2041435471451927
100016,2022-07-19,-0.1937472399337368
